id,source,left_context,mention,right_context,nil_type
5872,train,"d in two prime-time specials, Jack Jones on the Move (1966) and The Jack Jones Special (1974).He provided the vocals to the theme song of",funny face,", The Kind of Girl She Is. When the show returned as The Sandy Duncan Show, he was replaced by a chorus of unknown men and women",Missing Entity
5873,train,"oth eldest chachas (father's younger brother) will come together and exchange garlands of flowers. In the Milni ceremony, the girl's relatives give",shagun,"(a token of good luck) to the groom's close relatives in descending order of age. Cash and clothes are gifted.Jaimala/Varmala: After Milni, t",Missing Entity
5875,train,and Regular Edition. Each edition has a different cover. All the limited editions were shipped sealed and included a serial-numbered entry card for,the lottery,to win a ticket to one of the single's launch events. The limited editions A and B included a bonus DVD: Limited Edition A DVD contained,Non-Entity Phrase
5876,train,"in Chinese and Greek: Verbal Aspect in Theory and Practice 9004178651 2009 p33 Chinese Standard Bible , p 443 9004178651 Xin yue sheng jing liu he",yi yi,"ben銆婃柊绱勮仏缍撳叚鍚堜竴璀湰銆? The New Testament (Six- in-One Version). Hong Kong: Found Treasure Publisher, 2007. Xinyue sheng jing Zhong wen biao zhunyi be",Non-Entity Phrase
5878,train,"education was reaching international standards and the government had fully accredited 156 universities and colleges in Myanmar.Today, Myanmar lags",far behind,"in terms of educational standards. Learn-by-rote education, poorly-trained teachers, bribery, as well as use of out-dated resources have",Non-Entity Phrase
5888,train,"rtation (London 1994) p. 162 On fantasy, 'Serge Leclaire, who is summarizing Lacan's thinking on the fantasm in the late 1950s, points out that the",fantasm,"is at the heart of the dream'Herman Rapaport, Between the Sign and the Gaze (1994) p. 21 in orthodox Lacanian fashion. Similarly orthodox is",Non-Entity Phrase
5891,train,"could also dismiss the case if he finds both parties to be wrong. After every case, court reporter/interviewer Vivian Guzman would ask both parties",a few questions,and let them state their opinion on the outcome of the case. Moral Court was the only court show that dealt with ethics and morality,Non-Entity Phrase
5894,train,mysterious infant he sees within &amp;mdash; apparently Hera Agathon &amp;mdash; is the first of a new generation of God's children and the face of,the shape of things,"to come. The theme also accompanies Number Three's visions of the Final Five set in the Opera House in Hero , but its usage is n",Non-Entity Phrase
5897,train,"force in 1987鈥?8, winning 23 games and being a finalist for the last at-large bid to the 1988 NCAA Division I Men's Ice Hockey Tournament. 1988 was",the last hurrah,"for the program, however. After Northern Arizona couldn't continue after their first season in the conference, USIU had only the Ala",Non-Entity Phrase
5904,train,"e daughter of Jesús Reza Rosales, better known as Mano Negra, the sister of Mano Negra Jr. and the sister-in-law of Black Warrior. Her mask and her",black and blue,wrestling gear color scheme is based on her father's mask.,Non-Entity Phrase
5906,train,purchased eight acres southwest of the windmill and built a large Queen Anne style summer house on the site. The landscaping altered the prevailing,summer wind,"making mill operation even harder, so Samuel Corwith sold the mill to them for $900. Ayers and Lombard sold it back to Samuel in 1895 fo",Non-Entity Phrase
5911,train,"rough the Net Guardian Incident, she wants to join the organization. Because she also hinted that she quit school because she didn't get along with",the idiots,"and has a pretty short friend list in her phone, she is kind of lonely. Though she seems to be more cheerful around Amishima, and gives h",Non-Entity Phrase
5920,train,4鈥?015) * Studio Amani (2016) * superspots 鈥?Die besten Clips im Umlauf (reruns) * Switch (reruns) * Switch reloaded * talk talk talk (1999鈥?016) *,talk talk talk,"fun (2006鈥?007) * The Next Uri Geller (2008鈥?009) * TV total, hosted by Stefan Raab (1999鈥?015) * U20 鈥?Deutschland, deine Teenies *",Non-Entity Phrase
5923,train,"ed over forty years, mostly consisted of guest appearances on television shows. Her first credited role was in an episode of Star Trek entitled",by any other name,", which was first broadcast on February 23, 1968. (She was the only female Redshirt to be killed in the original series) She appea",Non-Entity Phrase
5927,train,", and the authorities were alerted. Their rental car was found on a city street more than a week later. Their bodies were found on 27 May 2013 in a",shallow grave,"in a lemon grove, two weeks after they disappeared in the region. The pair had been abducted, tortured and killed. - nos.nl - 28 May 2",Non-Entity Phrase
5928,train,"rsal Wrestling Association (UWA) partner, using the name Promociones Moreno as the business name for his promotional efforts. In 1977 Moreno bought",the rundown,"Arena KO Al Gusto and had Arena Naucalpan built in its place, an arena designed specifically for wrestling shows, with a maximum capacit",Non-Entity Phrase
5934,train,supposedly independent) that was formed on May 16 of that year.After a thorough documentation (this was the origin of his unpublished essay “Rasgos,americanos,"de la independencia Paraguaya鈥?(American features of Paraguayan Independence), Guido Rodr铆guez Alcal谩, in his novel, gets close to the la",Non-Entity Phrase
5937,train,"omatoes based on 59 reviews, with the critics' consensus saying, This documentary focuses less on the music and more on the personality clashes and",in-group,"tensions to great, compelling effect.== References ====External links==* *",Non-Entity Phrase
5939,train,"rance as Guy in the film The Full Monty. Following this film's worldwide success he went on to appear in Swing (1999), Deathwatch and",the interpreter,"(playing Nicole Kidman's brother). However, most of his work has been on TV, including sitcom Men Behaving Badly, dramas Clo",Non-Entity Phrase
5940,train,re.The local devotees came to the support of the monks and quickly constructed a tiny Shiva temple and began to worship it. Rammoy Maharaj remained,amazed,"at this help extended by the devotees, which solved the problem once and for all. Work carried on smoothly thereafter. The Shiva temple since",Non-Entity Phrase
5941,train,forts to build a nation not only strong in arms but unconquerable in spirit. An indomitable will to fight &amp; an unflinching resolution to defend,at all costs,"life, liberty &amp; the pursuit of happiness are the fundamental characteristics of any nation that deserves to survive - Brigadier Gen",Non-Entity Phrase
5942,train,nter Arma Enim Silent Leges :Penumbra :'Til Death Do Us Part :Strange Bedfellows :The Changing Face of Evil :When It Rains鈥?:Tacking into the Wind :,extreme measures,":The Dogs of War :What You Leave Behind, Parts I &amp; II",Non-Entity Phrase
5943,train,"instant spark between the two through music and sports, mainly surfing and as their feelings towards each other grows, they feel they are more than",just friends,". Their mothers, on the other hand, threaten to jeopardize this relationship between the two young men. Due to family pressure, they ha",Non-Entity Phrase
5950,train,"st enemy organization.Meanwhile, with the aid of Bill Tanner, Cadence discovers the entire chain of the Eidolon transactions that are moved through",deep cover,MI-5 channels to a final stop that is the Box Tunnel where the country's domestic intelligence service draws an administration from. M se,Non-Entity Phrase
5951,train,cologists Tom May &amp; Alec Wood in 1995.The sympatric species Austroboletus mutabilis is distinguished by the unique colour shift on the cap from,deep red,to orange and then yellow.==References====External links==*,Non-Entity Phrase
5952,train,"Bacterial degradation of unabsorbed tryptophan in the intestine leads to excessive indole production and thus to indicanuria which, on oxidation to",indigo blue,", causes a peculiar bluish discoloration of the diaper (indoluria). Symptoms typically include digestive disturbances, fever and visual p",Non-Entity Phrase
5957,train,"ed at the corner of Loch Raven Boulevard and East Belvedere Avenue.U.S. News and World Report has named the hospital in its Top 50 for orthopedics,",diabetes care,"and geriatrics.MedStar Good Samaritan Hospital is a member of MedStar Health, a not-for-profit community-based network of nine hospita",Non-Entity Phrase
5963,train,ing their dreams: I decided that I would rather fail doing something I enjoyed than be successful doing something that would just be a grind [....],my wish,for all of you is that you will do the same. Be who you are because you'll always be right.==References====External links==* * at Access Hol,Non-Entity Phrase
5964,train,Fire for effect is a military term. According to NATO doctrine: # Fire which is delivered after the mean,point of impact,or burst is within the desired distance of the target or adjusting/ranging point. # Term in a call for fire to indicate the adjustment/ranging is satisfactory and fire for eff,Non-Entity Phrase
5967,train,"o realize it due to her own feelings for Yukito.Originally, Syaoran appeared smitten with Yukito, but later revealed that the attraction was due to",high moon,"power inside of Yukito. Eventually, in the beginning of the third season, Syaoran finally begins to realize he has deeply fallen in love w",Non-Entity Phrase
5972,train,"elf-released, 2018)===Singles===* fuck these foolz that are making valencia street unchill (2016) * uuu (2016) * flash tattoos (2017) * let freedom",ring 2,"(2018) * henna tattoo (2019) * used 2 be a romantic (2019) * the bottle’s my lover, she’s just my friend (2019) * -h-o-u-s-e-k-e-y-s- (2020)=",Non-Entity Phrase
5973,train,"l, the instigator of the world's first organised police force. The word peeler of similar origin, is used in Northern Ireland. ; Bob's your uncle :",there you go,", it's that simple ., World Wide Words (Some areas of US have the phrase Bob's your uncle, Fanny's your aunt) ; bodge :a cheap or poor",Non-Entity Phrase
5977,train,"Knock Yourself Out)=== As composer ===* Dion: Runaround Sue , The Wanderer , Lovers Who Wander ; and Donna the Prima Donna * Dion and the Belmonts:",no one knows,"* The Belmonts: Come On Little Angel * The Regents: Runaround * Dean &amp; Jean: Seven Day Wonder , Hey Dean, Hey Jean * Bernadette Car",Non-Entity Phrase
5978,train,"RT Arabic,",formerly known,"as Rusiya Al-Yaum (Arabic: روسيا اليوم, meaning Russia Today) is a Russian state-controlled free-to-air television news channel broadcasting in Arabic and headquartered in Moscow, Russia. Rusiya Al-Yaum started broadcasting on 4 May 2007. The parent company of RT Arabic",Non-Entity Phrase
5987,train,==Principle of public access to official records==In Sweden tax returns are covered by confidentiality according to,chapter 27,"§ 1 Offentlighets- och sekretesslagen (). According to § 6, however, confidentiality according to 1 and 3 §§ does not apply to decisions whereby tax or pensionable incom",Non-Entity Phrase
5992,train,"ny songs were added and swapped around during this act including The One , Love at First Sight , I Should Be So Lucky and the acoustic rendition of",all i see,". Starting during the South American leg, Better the Devil You Know was performed. For the first two performances in South America only, S",Non-Entity Phrase
5996,train,"'s programme Jackanory, narrating in fourteen episodes between 1971 and 1972. Other television credits include appearances in Danger Man,",the prisoner,", The Goodies, Hancock's Half Hour, and Father, Dear Father. From 1957 to 1958, he appeared as Peter Jamison in three epis",Missing Entity
5997,train,"e in the area today known as Verdemont in Northwestern San Bernardino, and eventually they will own 2,000 acres (8&amp; km²) which they use to grow",wine grapes,. * 1883 鈥?California Southern Railroad reaches San Bernardino on September 13. San Bernardino High School becomes the first high school,Missing Entity
5999,train,"Iz*One shared a notice via their FanCafe, that they would be releasing their fourth extended play (EP) on June 15. It announced the members were in",the last stage,"of production and are releasing a higher quality performance. Soompi. On June 1, Iz*One released an album trailer announcing the name",Non-Entity Phrase
6002,train,Academy Award for his work on the original Star Wars. He also received the Visual Effects Emmy for his work on the television motion picture,the day after,". He produces and directs USA and international mixed-media TV commercials, location-based theme park rides, and his independent, exp",Non-Entity Phrase
6004,train,"litary Tattoo 2015, singing in both Gaelic and English.The singer is currently working in Glasgow as a full-time musician.==Awards==* Up and coming",artist of the year,鈥?Scots Trad Music Awards 2007 *Nominee for Gaelic Singer of the Year Scots Trad Music Awards 2008 *Finalist in the BBC Radio Sco,Non-Entity Phrase
6005,train,Group. The winner also is rewarded with a Toyota-made automobile. * Lionel Messi and Cristiano Ronaldo are the only players to have been named the,best player,of the final on two occasions. * Brazilian players have earned that distinction the most times with four nominations. * Deco is the only,Non-Entity Phrase
6007,train,"based on his system. He is the steed of Lilith, so he is considered a mechanism by which evil is activated. Though Tanin'iver is castrated (echoing",a fable,"about the Yetzer ha-Ra), he is still the catalyst for the coupling of Lilith with Samael, a union that brings pestilence into the world.",Non-Entity Phrase
6012,train,"in Bonds without Judgment, attributed to Edward Topham, and Sebastian in Elizabeth Inchbald's Midnight Hour, on 22 May 1787. At Covent Garden, with",one summer,"visit to the Haymarket, he remained until his death.He was seen as Iago, Duretête in The Inconstant (George Farquhar), Heartwell in The O",Non-Entity Phrase
6016,train,of the arts and education and in 1962 endowed a foundation which she named after her late husband. The Crescent Porter Hale Foundation continues to,this day,"and awards grants to Catholic schools and arts and education programs in the San Francisco area.Mabel outlived Elwyn, who never married and",Non-Entity Phrase
6017,train,"s, lack of water can become a problem. The tsetse fly, which causes sleeping sickness, can also be found in the southern regions.The Zaghawa are an",ancient society,"dating back to the 7th century. Long ago, they had their own kingdom that was separated into chiefdoms, castes (strict social classe",Non-Entity Phrase
6018,train,"1In 1906, while incarcerated, Puter co-wrote the book Looters of the Public Domain with Horace Stevens, a former land office clerk. In the detailed",tell-all,", Puter both confessed to and accused others of their role in the scandal, and in it were portraits of his co-conspirators and copies of doc",Non-Entity Phrase
6021,train,"elipad, possible utilized as a quick access point for repairs to the Aqueduct. Continuing along the woods road the path dips down into an expansive",gravel pit,". Care is needed in this area as the shale is loose and sure footing is not guaranteed. Cast iron bars and solid chunks of limestone, shal",Non-Entity Phrase
6023,train,==Biography==In 1970 the Graphic Arts Guild named him,artist of the year,". An avid baseball fan, Tinkelman’s work was presented in a rare solo exhibition in 1994 at The National Baseball Hall of Fame and Museum in Cooperstown, New York. The following year, Tinkelman was named “Sports Artist of th",Missing Entity
6026,train,"gy escapes before the plane takes off; a security officer opens the suitcase and does not recognize the bomb for what it is, but insists that Snake",turn it on,"to show that it is harmless; Snake flips a series of switches, starting the bomb's forty-five-minute timer; *Eliot, Anna, Matt, Nina and",Non-Entity Phrase
6029,train,"he movie 4/5, and mentioned that there is plenty to celebrate in Baar Baar Dekho, not the least of its virtues being the ability to deliver marital",home truths,"without sermons or soliloquies. Writing for The Hindu, Namrata Joshi commented that the movie features passionless performances and card",Non-Entity Phrase
6031,train,"ng journalist, motivated by a supernatural vision, comes to Real del Monte in order to visit his grandfather. There he falls in love with Andrea la",guapa,"(the niece) and a romance begins in a way as tragical as the one Gonzalo lived. Andrea breaks up with the engineer Manuel, in spite of her pro",Non-Entity Phrase
6036,train,"rks alongside the architect, James Thomson Chambers, and builder, F. C. Sweeney. Mr Dudgeon, a monumental mason from Taree, supplied the foundation",stone free,"of charge. The Honour Rolls were executed by monumental mason, A. Siddall. In a self-published architectural history about her father's c",Non-Entity Phrase
6037,train,==Plot==Michael Gavin and his partner Daniel trade,the rat race,"of New York City for the idyllic charm of the Connecticut shoreline, with hopes of a simpler life and time for Michael to finish his first novel. All that changes when one of Michael's high school students accuses him of 'inappropri",Non-Entity Phrase
6039,train,Committee).===Activist===The Women's Crusade (1873鈥?4) in Ohio roused her interest and enthusiasm. Dr. Diocletian Lewis came to Brooklyn fresh from,the great awakening,"in Ohio. The Packer Institute teacher attended several temperance prayer-meetings, and was present at the one (March 17, 1874) a",Non-Entity Phrase
6041,train,e common reference points in discussions of the medium.The title of Understanding Comics is an homage to Marshall McLuhan's seminal 1964 work,understanding media,.,Missing Entity
6042,train,at university and allows Alumni to return to Mannheim annually.== Selected topics of past lectures ==2016 * November 2016: The Future of Banking 鈥?,the shape of things,"to come (Oliver Wyman) * September 2016: Bainlecture - an introduction in the private equity industry, current challenges, and k",Non-Entity Phrase
6044,train,"-final win over the United States but were beaten 2鈥? by Germany in the final. Daniela and teammates Marta, Cristiane and Rosana were nicknamed the",fantastic four,.==Notes====References====External links==* * at Women's Professional Soccer * at Women's United Soccer Association,Missing Entity
6045,train,"New York City's Yankee and Shea Stadiums during late May and June 1972, when the Yankees and Mets were on extended roadtrips. The opening scenes of",the movie show,"the stars running on the warning track at Yankee Stadium; in addition, the visitors' clubhouse, the walkway from the Yankees' dugout,",Non-Entity Phrase
6052,train,"sarticular al grupo terrorista perteneciente al FMR que ha atacado en octubre el retén de la localidad fronteriza de Los Queñes, hecho enmarcado en",la llamada,"Guerra Popular Prolongada. Chile Ecoge La Libertad, Gonzalo Rojas Sánchez, Page 784, Zig Zag, 1998 Corporal Juvenal Sepúlveda Vargas is k",Non-Entity Phrase
6054,train,"r one million copies, and was awarded a gold disc by the R.I.A.A. in October 1969.Over the next few years, Kim recorded a few minor hits, including",be my baby,"and It's Your Life . RPM Magazine, Canadian Content, - Volume 13, No. 23 Jul 25, 1970 (in 1970) and toured North America extensively.",Non-Entity Phrase
6056,train,". They struggled offensively and defensively all game. The defense, for the most part, struggled to contain Matt Jones on the ground as Jones had a",big day,"with 123 yards rushing along with two touchdowns.====Week 3: vs. Pittsburgh Steelers====Prior to kickoff, the game was delayed due to the tu",Non-Entity Phrase
6057,train,"fter Tessa when she arrived in Madrid to live with her uncle, aunt, and three cousins. She returns with Tessa and keeps her feet on the ground with",home truths,about her life and destiny. Marta has great knowledge of the tarot. The Queen of Swords name comes from one of Marta's tarot cards. *Col,Non-Entity Phrase
6065,train,"in and melodramatic, occasionally unbearable. What's more, it makes each Dears approach-- heavy rock insurgencies, sweeping synthesizer ambles, big",breezy,"janglers-- seem that much more polar. The album feels scattered and uneven, like a band without direction or restraint. (Rating: 2.4) * Paste",Non-Entity Phrase
6069,train,"r), the general equation is::\mathrm = \mathrm/\mathrm^3\cdot \fracand for the reverse conversion::\mathrm/\mathrm^3 = \mathrm\cdot \fracNotes: * 1",atm,= absolute pressure of 101.325 kPa or 1.01325 bar * mol = gram mole and kmol = 1000&amp; gram moles * Pollution regulations in the United States,Non-Entity Phrase
6070,train,gle. The title is the English translation of Adolf Hitler's Mein Kampf and the book featured a red leather cover as a poke at Chairman Mao Zedong's,little red book,. Excerpts from the book can also be found hidden in Devo's CD-ROM game Adventures of the Smart Patrol.==Songs performed by Booji Bo,Non-Entity Phrase
6074,train,Exam) subjects in the preparation for their upper school levels (years 11 and 12).===School structure===The students are put into six priories (or,factions,"): Annunziata (gold), Senario (black), San Clemente (green), St Mary (blue), Our Lady of Sorrows (purple) and St Anthony (red). Each played",Non-Entity Phrase
6075,train,". But drivers figured out the jump in time for qualifying, where once again, Marcus Grönholm and Tanner Foust placed first and second. In a sign of",things to come,"for much of the season, Gronholm, Foust, Brian Deegan, and Samuel Hubinette would win the four heat races. But it was the second of t",Non-Entity Phrase
6083,train,"nd third of August. Some activities that are performed are an opening speech, soccer tournaments, caliche (a popular sport of Spain) tournaments, a",scavenger hunt,"named Búsqueda de Lucerna (Lucerna [an Ancient Roman lamp] Seeking), a cow let loose, a parade with an Iberian and Ancient Roman them",Non-Entity Phrase
6096,train,mis-hits which fell just clear of fieldsmen and three times all but played on . Nurse went public with his desire to leave international cricket at,the end of the tour,before the third and final Test at Lancaster Park. He finished his Test cricket career in Christchurch in style with an innings,Non-Entity Phrase
6098,train,side the Central Power Battery on Oa.Green Lantern Corps (vol. 2) #59 (April 2011) Krona then used Mogo to send out hundreds of Green Lantern rings,across the universe,to recruit more members to be brainwashed. Kyle Rayner and John Stewart tried to stop Mogo while wielding blue and indigo rings,Non-Entity Phrase
6099,train,"Soon after, Exile Parade were working with Morris at Real World Studios. Rock writer Mick Middles called them the most promising band to emerge in",the last five years,". In April 2008, the band's song Fire Walk With Me broke into the Mediabase Active Rock Top 100 in the U.S. They were the highes",Non-Entity Phrase
6105,train,"June 28, 2011, Sean released his debut studio album, Finally Famous, debuting at number 3 on the US Billboard 200. The album's lead single,",my last,peaked at number 30 on the US Billboard Hot 100 and topped the US Hot Rap Songs chart. The single was certified gold by the Recording In,Non-Entity Phrase
6115,train,"rivatization of the airport in 2000 led the state to finally begin construction of the interchange, after Governor George Pataki designated much of",the western lands,as Stewart State Forest. It was stalled for three years by a lawsuit filed by several national and local environmental groups alle,Non-Entity Phrase
6117,train,"Chart, reaching a peak of number six on 21 August.==Cover versions==The song was re-recorded in Dutch by Snappie under the title Snappie de kleine",krokodil,", which peaked at number two in the Netherlands and number five in Flemish Belgium. Snappie de kleine krokodil , Dutch and Belgian Singles",Non-Entity Phrase
6118,train,"newly extended borough had a population of more than 37,000, and the Reform Act therefore left it untouched. It had 2,312 registered voters at the",first reformed,"election, and around 7,500 after the second extension of the franchise in 1868. It retained its two members until 1885, when the cons",Non-Entity Phrase
6123,train,"Malinda Bell in 1969. They have one son, Robert Allison, born in 1990, who is, as of 2018, an architect in New York City. Allison and Malinda lived",separate lives,"for many years and eventually divorced in 2012. Allison met Padmanee Sharma, MD, PhD through Dr. Lloyd Old in 2004. Allison and Sharm",Non-Entity Phrase
6125,train,"th the end of this crisis (traditionally dated to 458BC) has often been cited as an example of outstanding leadership, service to the greater good,",civic virtue,", humility, and modesty. As a result, he has inspired a number of organizations and other entities, some named in his honor. In the Unit",Non-Entity Phrase
6127,train,"Germany. He completed his training in psychiatry at the University of Würzburg, Germany, and then became Postdoctoral Associate at the Division of",molecular psychiatry,"from the Yale School of Medicine, United States. After two years of intensive and successful research in the area of molecular",Missing Entity
6128,train,posing onto Dylan with the lie that she was Mike's wife and that Susan was the one who had stabbed her. Susan is then forced to reveal to Dylan her,wedding album,to which Dylan is left stunned at the fact that her mother had been lying to her this whole time. When Dylan visits her mother at her,Non-Entity Phrase
6129,train,"the incumbent governor, Tom Wolf, while wearing golf cleats. “Gov. Wolf, let me tell you between now and Nov 6, you better put a catcher's mask on",your face,"because I'm going to stomp all over your face with golf spikes. Because I'm going to win for the state of Pennsylvania, and we are throwin",Non-Entity Phrase
6130,train,"zalea was also featured on Ariana Grande's top five single Problem . In November 2014, Azalea released a reissue of her debut studio album titled",reclassified,", which included the singles Beg for It and Trouble . Azalea achieved three top ten hits simultaneously on the Billboard Hot 100 i",Non-Entity Phrase
6132,train,"ilong Military Hospital, Shilong, India.==Bangladesh Army==After the Independence War of Bangladesh, Jamil was promoted to Lt. Col. and was awarded",bir bikram,(the third highest gallantry award of Bangladesh). In 1974 he was promoted to Colonel and appointed Brigade Commander of 46 Infantry Brig,Missing Entity
6133,train,he mother and daughter sing a piteous lament (Duoszene: Mutter und Tochter) to the father in heaven as they starve from famine. John then describes,the pale horse,"and rider, and the kingdom of death and pestilence which follows him. Tenor and bass soloist, survivors on the corpse-field (Duoszene",Non-Entity Phrase
6134,train,Wild Sports of the West while resident there in the nineteenth century.The Heritage of Mayo 3rd Edition by Áine Ní Cheanáinn published by,western people,"1988, page 56==Transport==Balla railway station opened on 17 December 1862, but closed to passenger traffic on 17 June 1963, and cl",Non-Entity Phrase
6139,train,"distributor at the end of the generator/starter unit.With a bore and a stroke, the engine had a displacement of . The standard compression ratio of",five to one,yielded at 3600&amp; rpm and of torque at 1500&amp; rpm.A single dry-plate clutch and an unsynchronized three-speed gearbox were bolted,Non-Entity Phrase
6145,train,"or the first time in 13 seasons.The European Open was revived in 2001/2002 and was held in Valletta, Malta. In 2003 the event was for the first and",only time,"held in England (Torquay). The following year it returned to Malta, this time held in Portomaso. The following season event was renamed th",Non-Entity Phrase
6147,train,ciency of overhead valves. Luxury car drivers presumably valued smoothness and silence more than high speed power. Hydraulic valve lifters promoted,silent running,"and an absence of periodic adjustment. Unlike most cars of the era, an external oil filter safeguarded the precision valve lifters. D",Non-Entity Phrase
6150,train,n. When his time comes to say goodbye he says Thank you. When he greets himself he says Hi. I'm Ken Bahn. then giggles. When he has a cavity on his,do-re-mi,tooth he says I have a cavity right here on my do-re-mi tooth.* Klinki Klunki (銈儵銉炽偝銉兂 Karankoron from 銈儵銉?銈炽儹銉?karan koron meaning an onomat,Non-Entity Phrase
6154,train,theatre festival.== Unit ==The festival is held at the Youth Theatre People's Theatre Arena. It is composed of artists from all over the world who,love street,"performances and perform street performance art forms. It includes several major sections, such as drama workshop, drama forum, and exhi",Non-Entity Phrase
6158,train,"), Deadly Hero (1975), The Deep (1977), An Almost Perfect Affair (1979), The Jerk (1979), The Night the City Screamed (1980),",the star chamber,"(1983) Gardens of Stone (1987), as Diamond's father in The Player's Club (1998), and Roberto in Blood and Bone (2009).In",Missing Entity
6159,train,"h works to restore the church. As of 2014, no steps were taken to restore the monastery or prevent it from collapsing. In 2014 Anadolu Agency and",agos,mentioned the monastery as a candidate of being restored in the upcoming years. Van Province Culture Director Muzaffer Aktuğ stated in Februa,Non-Entity Phrase
6162,train,"de akin to the scaena in a theatre, with fountains and colonnades. This became known as the Septizodium. It is said that the emperor monumentalised",this side,"of the building to impress his fellow Africans, who would arrive in Rome along the via Appia. The Septizodium's remains were demolished in",Non-Entity Phrase
6163,train,"Nekschot publishes his cartoons and satire mostly on his own website. His cartoons are also available in print from one publisher. On May 13, 2008",the cartoonist,"was arrested and taken into custody for interrogation. He was released after 30 hours, but it was expected that he would be prosecute",Missing Entity
6168,train,"ión entre diversos tipos de arte verbal (id est: Hegemonical yet non prestigious verbal art, and the differences between types of verbal art). * El",perfil,literario del siglo XX: La literatura mexicana 'culta' y los valores de la colectividad (id est: The literary profile of the 20th Century: Hi,Non-Entity Phrase
6172,train,"bit, a console-style animal with attitude platformer. *June 2 鈥?Sir-Tech releases turn-based tactics game Jagged Alliance, the first installment of",jagged alliance,series. *June 14 鈥?Nintendo releases Donkey Kong 94 for the Game Boy. It featured remakes of the first four stages of the original g,Missing Entity
6174,train,"h like the city of Colón (formerly Aspinwall) had been during the American construction of the Panama Railroad, Cristobal was the port of entry for",construction equipment,"and materials, most canal workers, and supplies and provisions for them and their dependents. High priority was given to buil",Non-Entity Phrase
6176,train,how to survive and adapt to a criminal lifestyle. Redemption is an expert at making connections with the people who will serve his purposes; he is,not afraid,of committing illegal actions to make ends meet. * King of Beggars: One eyed beggar that Elvis meets on the streets of Lagos. He has a da,Non-Entity Phrase
6179,train,"f Bethel was brought to the world's attention in 1969, when nearly 500,000 people gathered at Max Yasgur's Farm for Three Days of Peace and Music .",the documentary,"made about Woodstock released in 1970 showed interviews with numerous Bethel residents, including Art Vassmer, co-owner of Vassmers",Missing Entity
6182,train,eline quality expected of higher education institutions . Winchester is outside the listings of the major international rankings of universities (,qs,", THE, ARWU and CWTS Leiden).=== Research standing ===In the most recent Research Excellence Framework (REF 2014), 82 per cent of research w",Missing Entity
6183,train,"edding is arranged with Aathira in a simple way. Manonmani understands Mahesh's love for Aathira and approves the wedding, however her ego does not",let her go,and attend the wedding. But the couple decides to wait until she comes to wedding. Manonmani realizes Aathira's love towards her and give,Non-Entity Phrase
6184,train,"omparatively long. If the starting point is near aphelion, then the speed is lower and the time saved for not having to run the same small arc that",the equinox,has precessed is longer: that tropical year is comparatively short.The following values of time intervals between equinoxes and solstice,Missing Entity
6185,train,"SPA was considered the leading gay political organization in the State of New York before it disbanded.Buchanan, Angela Marie and Bay Buchanan, The",extreme makeover,"of Hillary (Rodham) Clinton, Regnery Publishing, 2007, , , page 145-6. As of 2005, ESPA was the largest statewide lesbian and gay p",Non-Entity Phrase
6192,train,"he last fragment of the Moebius Stone in a ring upon its finger. They were joined by Cody Fleisher, Cadaver, a teenager Malachi killed who Agamotto",re-animated,"to serve as his Pale Horseman. However, Malachi obtained the last fragment, and caught Shadowoman and Dr. Druid with her spells. Shadowo",Non-Entity Phrase
6193,train,rt performance==When I See U debuted at number ninety-nine on the Billboard Hot 100 in April 2007. It was Fantasia's first to enter the chart since,free yourself,"in 2005. The song peaked at number thirty-two on the chart, becoming more successful than Fantasias first single, Hood Boy , which fai",Non-Entity Phrase
6195,train,"um for its unique spin on reggaeton, noting that Residente's lyrics display a healthy sense of humor and an almost clownish approach to sarcasm...a",world apart,"from the kingly bravado of most reggaeton vocalists, and the obligatory glimmers of misogyny and violence that accompany such streetwise",Non-Entity Phrase
6197,train,"when done properly. While a juice deck is premarked and introduced into play by the cheater, daub is applied during play to any deck. Once trained,",cheaters,"can read the cards from across the table.Decks can be marked while playing using fingernails, poker chips or by bending or crimping the car",Missing Entity
6203,train,"a full shortlist of nominees.To date four films, The Confessional (Le Confessionnal), Atanarjuat: The Fast Runner, Away from Her and",a colony,"(Une colonie), have won both the Best First Feature and Best Picture awards in the same year; the first three films' directors also won t",Missing Entity
6204,train,Taking Back Control is a single by the rock band Sparta. It is one of their most well-known songs and the first single from the album,threes,". The song was a chart success, performing decently on both Billboard's Alternative Songs and Mainstream Rock chart.It has been featured in the video game M",Non-Entity Phrase
6208,train,"wer seed (that did not win its division) with a better record, and the lower seed would have home-court advantage.This was illustrated in the first",round here,"when the 44-win Denver Nuggets won the Northwest Division and had the third seed, yet did not have home-court advantage against the sixth",Non-Entity Phrase
6211,train,could only occur if engine chamber pressure dropped below a certain level or the booster began deviating from its flight path and telemetry data up,to the point,"of the malfunction indicated normal third stage performance. Sensing normal separation, the Progress began deploying its antennas and p",Non-Entity Phrase
6212,train,Road and Britnells Road (now Middleborough Road) from which the Sagoe Common School and police paddock had been excised.The first burial took place,the day after,"the cemetery was officially gazetted on 30 August 1873. Prior to this, burials took place on land surrounding the nearby United Method",Non-Entity Phrase
6216,train,"hotography and, like Yuuji she is not native to Hokkaido. Kozue has some Yuri tendencies saying out loud more than once that Misaki makes her heart",throb,". Kozue later replies though that she admires her the most denying that she her-self is a lesbian. When the user chooses Kozue, her first reac",Non-Entity Phrase
